#: table_doi: 10.17182/hepdata.73940.v1/t5
#: name: Table 5
#: description: No description provided.
#: data_file: Table5.yaml
#: keyword reactions: PB PB --> CHARGED X
#: keyword observables: V2 | V3 | V4
#: keyword phrases: Inclusive | Azimuthal Angular Correlation
#: keyword cmenergies: 2760.0
#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{2}\{2\}$','stat +','stat -','sys +','sys -'
-3.25,0.0584831,0.00024539,-0.00024539,0.00526348,-0.00526348
-2.75,0.0621684,0.000200762,-0.000200762,0.00559516,-0.00559516
-2.25,0.0653743,0.000141591,-0.000141591,0.00588369,-0.00588369
-1.75,0.0698372,0.000183709,-0.000183709,0.00628535,-0.00628535
-1.25,0.0744769,0.000202564,-0.000202564,0.00670292,-0.00670292
-0.75,0.0775219,0.000232814,-0.000232814,0.00697697,-0.00697697
-0.25,0.0790708,0.000203807,-0.000203807,0.00711637,-0.00711637
0.25,0.0798598,0.000361815,-0.000361815,0.00718739,-0.00718739
0.75,0.0776416,0.0002365,-0.0002365,0.00698774,-0.00698774
1.25,0.0748542,0.000261484,-0.000261484,0.00673688,-0.00673688
1.75,0.0713271,0.000187984,-0.000187984,0.00641944,-0.00641944
2.25,0.0675989,0.000128035,-0.000128035,0.0060839,-0.0060839
2.75,0.0644291,0.000135414,-0.000135414,0.00579862,-0.00579862
3.25,0.061548,0.000191047,-0.000191047,0.00553932,-0.00553932
3.75,0.056029,0.000186996,-0.000186996,0.00504261,-0.00504261
4.25,0.0518598,0.000258625,-0.000258625,0.00466738,-0.00466738
4.75,0.0482641,0.000318422,-0.000318422,0.00434377,-0.00434377

#: PT [GeV],0.0-100.0
#: RE,PB PB --> CHARGED X
#: CENTRALITY [pct],30.0-40.0
#: SQRT(S)/NUCLEON [GeV],2760.0
'$\eta$','v$_{2}\{4\}$','stat +','stat -','sys +','sys -'
-3.25,0.0520541,0.000339388,-0.000339388,0.00312325,-0.00312325
-2.75,0.0555353,0.000235346,-0.000235346,0.00333212,-0.00333212
-2.25,0.0577839,0.000243151,-0.000243151,0.00346703,-0.00346703
-1.75,0.0609747,0.000340805,-0.000340805,0.00365848,-0.00365848
-1.25,0.0646522,0.000496289,-0.000496289,0.00387913,-0.00387913
-0.75,0.0675502,0.000421853,-0.000421853,0.00405301,-0.00405301
-0.25,0.069438,0.000485565,-0.000485565,0.00416628,-0.00416628
0.25,0.070821,0.00067156,-0.00067156,0.00424926,-0.00424926
0.75,0.067588,0.000418005,-0.000418005,0.00405528,-0.00405528
1.25,0.0643401,0.000389096,-0.000389096,0.0038604,-0.0038604
1.75,0.0617616,0.00066388,-0.00066388,0.0037057,-0.0037057
2.25,0.0598507,0.000264026,-0.000264026,0.00359104,-0.00359104
